Path,Line Coverage,Function Coverage,Region Coverage
src/pdns/pdns/arguments.hh,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/pdns/pdns/ascii.hh,38.46% (5/13),33.33% (1/3),45.45% (5/11)
src/pdns/pdns/dns.hh,0.00% (0/13),0.00% (0/5),0.00% (0/5)
src/pdns/pdns/dnslabeltext.cc,0.00% (0/785),0.00% (0/5),0.00% (0/263)
src/pdns/pdns/dnsname.cc,24.29% (85/350),16.67% (5/30),24.75% (73/295)
src/pdns/pdns/dnsname.hh,0.34% (1/290),2.44% (1/41),1.59% (1/63)
src/pdns/pdns/dnsparser.hh,0.00% (0/259),0.00% (0/51),0.00% (0/51)
src/pdns/pdns/dnswriter.hh,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/pdns/pdns/ednsoptions.cc,12.26% (13/106),20.00% (1/5),9.09% (8/88)
src/pdns/pdns/fuzz_packetcache.cc,85.19% (23/27),100.00% (1/1),85.71% (12/14)
src/pdns/pdns/iputils.hh,0.00% (0/897),0.00% (0/97),0.00% (0/121)
src/pdns/pdns/lock.hh,0.00% (0/41),0.00% (0/18),0.00% (0/18)
src/pdns/pdns/misc.cc,2.57% (29/1129),1.16% (1/86),2.40% (17/708)
src/pdns/pdns/misc.hh,0.00% (0/233),0.00% (0/37),0.00% (0/80)
src/pdns/pdns/packetcache.hh,91.18% (124/136),100.00% (5/5),94.59% (105/111)
src/pdns/pdns/pdnsexception.hh,0.00% (0/4),0.00% (0/4),0.00% (0/4)
src/pdns/pdns/qtype.cc,11.29% (7/62),12.50% (1/8),5.41% (2/37)
src/pdns/pdns/qtype.hh,0.00% (0/23),0.00% (0/9),0.00% (0/9)
src/pdns/pdns/statbag.cc,1.57% (4/254),2.50% (1/40),0.71% (1/140)
src/pdns/pdns/statbag.hh,0.00% (0/36),0.00% (0/7),0.00% (0/7)
src/pdns/pdns/svc-records.cc,0.00% (0/129),0.00% (0/18),0.00% (0/92)
src/pdns/pdns/svc-records.hh,0.00% (0/5),0.00% (0/3),0.00% (0/3)
Totals,6.06% (291/4804),3.56% (17/477),10.55% (224/2124)
