Path,Line Coverage,Function Coverage,Region Coverage
src/pdns/pdns/arguments.hh,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/pdns/pdns/ascii.hh,0.00% (0/13),0.00% (0/3),0.00% (0/17)
src/pdns/pdns/base32.cc,0.00% (0/92),0.00% (0/5),0.00% (0/58)
src/pdns/pdns/base64.cc,0.00% (0/51),0.00% (0/2),0.00% (0/24)
src/pdns/pdns/dns.hh,0.00% (0/13),0.00% (0/5),0.00% (0/5)
src/pdns/pdns/dnslabeltext.cc,0.00% (0/785),0.00% (0/5),0.00% (0/263)
src/pdns/pdns/dnsname.cc,41.14% (144/350),26.67% (8/30),40.34% (119/295)
src/pdns/pdns/dnsname.hh,6.60% (19/288),21.95% (9/41),24.66% (18/73)
src/pdns/pdns/dnsparser.cc,48.75% (371/761),56.10% (23/41),52.08% (225/432)
src/pdns/pdns/dnsparser.hh,25.40% (64/252),40.38% (21/52),33.67% (33/98)
src/pdns/pdns/dnsrecords.cc,23.87% (127/532),18.18% (10/55),15.44% (42/272)
src/pdns/pdns/dnsrecords.hh,23.44% (49/209),23.81% (15/63),32.65% (32/98)
src/pdns/pdns/dnswriter.cc,0.00% (0/357),0.00% (0/23),0.00% (0/178)
src/pdns/pdns/dnswriter.hh,0.00% (0/39),0.00% (0/11),0.00% (0/17)
src/pdns/pdns/fuzz_moadnsparser.cc,85.71% (24/28),100.00% (2/2),86.67% (13/15)
src/pdns/pdns/iputils.hh,3.33% (30/900),5.10% (5/98),8.29% (15/181)
src/pdns/pdns/lock.hh,0.00% (0/41),0.00% (0/18),0.00% (0/18)
src/pdns/pdns/logger.cc,0.00% (0/123),0.00% (0/14),0.00% (0/41)
src/pdns/pdns/logger.hh,0.00% (0/36),0.00% (0/10),0.00% (0/10)
src/pdns/pdns/misc.cc,0.00% (0/1129),0.00% (0/86),0.00% (0/708)
src/pdns/pdns/misc.hh,0.00% (0/249),0.00% (0/38),0.00% (0/90)
src/pdns/pdns/noinitvector.hh,0.00% (0/9),0.00% (0/3),0.00% (0/3)
src/pdns/pdns/nsecrecords.cc,31.01% (80/258),30.00% (9/30),38.71% (36/93)
src/pdns/pdns/pdnsexception.hh,0.00% (0/4),0.00% (0/4),0.00% (0/4)
src/pdns/pdns/qtype.cc,11.29% (7/62),12.50% (1/8),5.41% (2/37)
src/pdns/pdns/qtype.hh,13.04% (3/23),11.11% (1/9),11.11% (1/9)
src/pdns/pdns/rcpgenerator.cc,0.00% (0/680),0.00% (0/50),0.00% (0/425)
src/pdns/pdns/rcpgenerator.hh,0.00% (0/8),0.00% (0/4),0.00% (0/4)
src/pdns/pdns/sillyrecords.cc,6.47% (15/232),25.00% (2/8),1.29% (2/155)
src/pdns/pdns/statbag.cc,1.57% (4/254),2.50% (1/40),0.71% (1/140)
src/pdns/pdns/statbag.hh,0.00% (0/35),0.00% (0/7),0.00% (0/12)
src/pdns/pdns/svc-records.cc,37.98% (49/129),50.00% (9/18),43.48% (40/92)
src/pdns/pdns/svc-records.hh,60.00% (3/5),33.33% (1/3),33.33% (1/3)
src/pdns/pdns/unix_utility.cc,0.00% (0/136),0.00% (0/13),0.00% (0/119)
Totals,12.23% (989/8089),14.61% (117/801),14.53% (580/3991)
